,location,total_cases_per_million,new_cases_per_million,population_density,median_age,gdp_per_capita,diabetes_prevalence,hospital_beds_per_thousand,life_expectancy,human_development_index
167,Seychelles,1016.88,0.0,208.354,36.2,26382.287,10.55,3.6,73.4,0.797
169,Singapore,7252.908,7.1789999999999985,7915.731,42.4,85535.383,10.99,2.4,83.62,0.932
171,Slovakia,352.9530000000001,5.129,113.128,41.2,30155.152,7.29,5.82,77.54,0.855
172,Slovenia,894.209,11.544,102.619,44.5,31400.84,7.25,4.5,81.32,0.8959999999999999
173,Solomon Islands,18.926,0.0,21.841,20.8,2205.923,18.68,1.4,73.0,0.546
175,South Africa,5244.576999999998,29.793000000000006,46.754,27.3,12294.876,5.52,2.32,64.13,0.6990000000000001
176,South Korea,242.602,1.034,527.967,43.4,35938.374,6.8,12.27,83.03,0.903
178,Spain,5317.52,13.849,93.105,45.5,34272.36,7.17,2.97,83.56,0.8909999999999999
179,Sri Lanka,95.4785,0.374,341.955,34.1,11669.077,10.68,3.6,76.98,0.77
180,Sudan,243.607,0.068,23.258000000000006,19.7,4466.507000000001,15.67,0.8,65.31,0.502
181,Suriname,1927.948,15.342,3.612,29.6,13767.119,12.54,3.1,71.68,0.72
182,Swaziland,1517.889,13.791,79.492,21.5,7738.975,3.94,2.1,60.19,0.588
183,Sweden,6547.552,31.19,24.718000000000004,41.0,46949.283,4.79,2.22,82.8,0.933
184,Switzerland,3761.3445,11.555,214.243,43.1,57410.166,5.59,4.53,83.78,0.944
187,Tajikistan,825.2560000000002,4.404,64.281,23.3,2896.913,7.11,4.8,71.1,0.65
188,Tanzania,8.521,0.0,64.699,17.7,2683.304,5.75,0.7,65.46,0.5379999999999999
189,Thailand,45.1,0.043,135.132,40.1,16277.671,7.04,2.1,77.15,0.755
190,Timor,18.203,0.0,87.176,18.0,6570.102,6.86,5.9,69.5,0.625
191,Togo,92.526,1.087,143.366,19.4,1429.813,6.15,0.7,61.04,0.503
192,Trinidad and Tobago,97.53549999999998,1.429,266.886,36.2,28763.071,10.97,3.0,73.51,0.784
193,Tunisia,111.942,1.185,74.22800000000002,32.7,10849.297,8.52,2.3,76.7,0.735
194,Turkey,2593.306,17.916,104.914,31.6,25129.341,12.13,2.81,77.69,0.7909999999999999
196,Uganda,23.502,0.35,213.759,16.4,1697.707,2.5,0.5,63.37,0.516
197,Ukraine,1328.745,18.956,77.39,41.4,7894.393,7.11,8.8,72.06,0.7509999999999999
198,United Arab Emirates,4810.574000000001,42.567,112.442,34.0,67293.483,17.26,1.2,77.97,0.863
199,United Kingdom,4160.593,17.647000000000006,272.898,40.8,39753.244,4.28,2.54,81.32,0.922
200,United States,6938.334500000001,92.31,35.60800000000001,38.3,54225.446,10.79,2.77,78.86,0.924
202,Uruguay,301.9815,3.167,19.751,35.6,20551.409,6.93,2.8,77.91,0.804
203,Uzbekistan,506.914,7.021,76.134,28.2,6253.104,7.57,4.0,71.72,0.71
206,Venezuela,418.168,8.51,36.253,29.0,16745.022,6.47,0.8,72.06,0.7609999999999999
207,Vietnam,3.616,0.01,308.127,32.6,6171.884,6.0,2.6,75.4,0.6940000000000001
210,Yemen,57.9695,0.134,53.508,20.3,1479.1470000000004,5.35,0.7,66.12,0.452
211,Zambia,180.919,1.55,22.995,17.7,3689.251,3.94,2.0,63.89,0.588
212,Zimbabwe,129.6515,1.009,42.729,19.6,1899.775,1.82,1.7,61.49,0.535
